name,prompt,negative_prompt,description,category
MOOD_SFW_Melancholic,"melancholic expression, (sad eyes:1.2), wistful, distant look, pensive, thoughtful sorrow, gentle tears, lonely","cheerful, laughing, energetic",Melancholy emotional mood. Combos: SCENE_Forest_Outdoor; LIGHTING_Dramatic_Shadow; STYLE_Soft_Pastel. Conflicts: MOOD_Playful.,MOOD
MOOD_SFW_Mysterious,"mysterious expression, (enigmatic smile:1.2), half-lidded eyes, knowing look, secretive, aloof, distant gaze","cheerful, open, expressive, laughing",Enigmatic mysterious mood. Combos: ARCHETYPE_Witch; SCENE_Forest_Outdoor; LIGHTING_Dim_Dark. Conflicts: MOOD_Playful.,MOOD
MOOD_SFW_Playful,"playful expression, (bright smile:1.2), winking, mischievous grin, energetic, lively, tongue out slightly, happy","serious, cold, stoic, melancholic",Fun playful mood. Combos: ARCHETYPE_Catgirl; ACTIVITY_Dancing; OUTFIT_Casual. Conflicts: MOOD_Melancholic.,MOOD
MOOD_SFW_Serene,"serene expression, peaceful smile, calm eyes, tranquil, at ease, meditative, gentle warmth, inner peace","aggressive, fierce, anxious, chaotic",Peaceful serene mood. Combos: SCENE_Hot_Spring; SEASON_Spring_Cherry; LIGHTING_Soft_Warm. Conflicts: MOOD_Fierce.,MOOD
MOOD_SFW_Shy,"shy expression, (blushing:1.2), fidgeting, looking away, timid, embarrassed smile, hand to cheek, downcast eyes","confident, dominant, aggressive, cold",Cute shy mood. Combos: BODY_Petite_Small; OUTFIT_School_Uniform; ARCHETYPE_Idol. Conflicts: MOOD_Confident.,MOOD
MOOD_SFW_Sleepy,"sleepy expression, half-closed eyes, drowsy, tired eyes, yawning, sleepy smile, groggy, just woke up look, pillow marks on face","energetic, alert, fierce",Sleepy/drowsy mood. Combos: ACTIVITY_SFW_Sitting_Relaxed; SCENE_SFW_Bedroom; OUTFIT_SFW_Oversized_Hoodie. Conflicts: MOOD_SFW_Fierce.,MOOD
OUTFIT_SFW_Avant_Garde,"(avant-garde fashion:1.3), high fashion, geometric silhouette, architectural outfit, runway fashion, experimental clothing, sculptural garment, oversized shapes, fashion-forward","casual, plain, armor, uniform",Avant-garde high fashion. Combos: PALETTE_SFW_High_Contrast; COMPOSITION_SFW_Symmetry; MOOD_SFW_Confident. Conflicts: OUTFIT_SFW_Casual.,OUTFIT
OUTFIT_SFW_Boho,"(bohemian outfit:1.2), boho fashion, flowy skirt, embroidered top, layered necklaces, bohemian style, free spirit clothing, macrame accessories, earthy boho","formal, structured, armor, uniform",Bohemian free-spirit fashion. Combos: SCENE_SFW_Forest_Outdoor; SEASON_SFW_Summer_Beach; MOOD_SFW_Serene.,OUTFIT
OUTFIT_SFW_Business_Suit,"(business suit:1.2), blazer, dress shirt, trousers or pencil skirt, tie or scarf, formal professional, heels","casual, fantasy, armor, school uniform",Professional business attire. Combos: ARCHETYPE_Office_Lady; SCENE_Office; MOOD_Confident. Conflicts: OUTFIT_Fantasy_Armor.,OUTFIT
OUTFIT_SFW_Casual,"casual clothes, jeans, t-shirt, sneakers, everyday outfit, relaxed clothing, comfortable wear","formal, armor, fantasy, uniform, nude",Everyday casual. Combos: SCENE_Cafe; MOOD_Playful; ACTIVITY_Reading. Works with all BODY types.,OUTFIT
OUTFIT_SFW_Cottagecore,"(cottagecore:1.2), floral dress, linen apron, cottage aesthetic, prairie dress, pastoral fashion, soft rural","urban, cyberpunk, armor, dark",Cottagecore pastoral. Combos: SCENE_SFW_Forest_Outdoor; SEASON_SFW_Spring_Cherry; MOOD_SFW_Serene.,OUTFIT
OUTFIT_SFW_Cyberpunk,"(cyberpunk outfit:1.3), neon accents, tech wear, visor, holographic accessories, futuristic jacket, circuit patterns, cyber implants","fantasy, medieval, kimono, casual",Cyberpunk aesthetic. Combos: SCENE_Cyberpunk_City; LIGHTING_Neon_Purple_Pink; STYLE_Action_Game_Art. Conflicts: OUTFIT_Traditional_Japanese.,OUTFIT
OUTFIT_SFW_Dark_Academia,"(dark academia:1.2), tweed, plaid skirt, turtleneck, blazer, oxford shoes, scholarly aesthetic, muted tones","bright colors, casual, fantasy",Dark academia aesthetic. Combos: SCENE_SFW_Library; ACTIVITY_SFW_Reading; MOOD_SFW_Mysterious.,OUTFIT
OUTFIT_SFW_Evening_Dress,"(elegant evening dress:1.3), gown, formal dress, off-shoulder dress, slit dress, evening wear, sophisticated","casual, sporty, armor, uniform, torn",Formal elegance. Combos: BODY_Hourglass_Perfect; MOOD_Elegant; SCENE_Ballroom. Conflicts: OUTFIT_Sportswear.,OUTFIT
OUTFIT_SFW_Fairycore,"(fairycore:1.2), floral fairy outfit, gossamer wings, flower crown, ethereal pastel, nature fairy, whimsical","dark, armor, urban, cyberpunk",Fairycore whimsical fashion. Combos: STYLE_SFW_Soft_Pastel; SCENE_SFW_Forest_Outdoor; RACE_SFW_Angel.,OUTFIT
OUTFIT_SFW_Fantasy_Armor,"(fantasy armor:1.3), plate armor, pauldrons, gauntlets, greaves, fantasy warrior outfit, ornate armor, battle gear","modern clothes, casual, office, school uniform",Fantasy battle armor. Combos: ARCHETYPE_Warrior; SCENE_Fantasy_Ruins; MOOD_Determined. Conflicts: OUTFIT_Casual.,OUTFIT
OUTFIT_SFW_Gothic,"(gothic outfit:1.3), black lace dress, corset, dark clothing, choker, fishnet, victorian gothic, dark accessories","pastel, bright colors, sporty, swimwear",Gothic fashion. Combos: MOOD_Mysterious; SCENE_Gothic_Castle; STYLE_Dark_Gothic; LIGHTING_Dramatic_Shadow. Conflicts: OUTFIT_Swimwear.,OUTFIT
OUTFIT_SFW_Hanfu,"(hanfu:1.3), traditional chinese hanfu, flowing hanfu robes, cross-collar hanfu, ancient chinese clothing, dynasty clothing, silk hanfu, ru skirt","modern, western, armor, casual",Chinese hanfu dynasty clothing. Combos: ERA_SFW_Feudal_Japan (adapt); MOOD_SFW_Elegant; SCENE_SFW_Japanese_Night.,OUTFIT
OUTFIT_SFW_Historical_Armor,"(plate armor:1.2), full armor, historical armor, pauldrons, breastplate, gauntlets, greaves, visor, armored knight","modern, casual, fantasy light armor",Full historical armor. Combos: ERA_SFW_Medieval_Fantasy; BODY_SFW_Muscular_Fit; ACTIVITY_SFW_Fighting_Pose.,OUTFIT
OUTFIT_SFW_Hooded_Cloak,"(hooded cloak:1.3), long cloak with hood, hood up or down, traveler cloak, mystery cloak, dark cloak, fantasy traveler outfit, cowl","modern, bright casual, office",Hooded cloak/traveler. Combos: ARCHETYPE_SFW_Assassin; SCENE_SFW_Forest_Outdoor; WEATHER_SFW_Dense_Fog.,OUTFIT
OUTFIT_SFW_Lab_Coat,"(lab coat:1.2), white lab coat, laboratory coat, scientist coat, lab coat over casual clothes, open lab coat, medical professional look","fantasy, armor, formal evening",Lab coat. Combos: ARCHETYPE_SFW_Scientist; ARCHETYPE_SFW_Alchemist; LIGHTING_SFW_Bright_Clinical.,OUTFIT
OUTFIT_SFW_Lolita_Gothic,"(gothic lolita:1.3), black lolita dress, lace trim, petticoat, bonnet, lolita fashion, frilly gothic dress, platform shoes, cross accessories","casual, sporty, minimalist, armor",Gothic lolita fashion. Combos: MOOD_SFW_Mysterious; STYLE_SFW_Dark_Gothic; SCENE_SFW_Gothic_Castle. Conflicts: OUTFIT_SFW_Sportswear.,OUTFIT
OUTFIT_SFW_Mecha_Pilot,"(pilot suit:1.3), mecha pilot, eva suit, cockpit suit, futuristic pilot uniform, interface suit, neural link suit, sci-fi pilot outfit","medieval, fantasy, casual, historic",Mecha/sci-fi pilot suit. Combos: ERA_SFW_Retro_Futurism; ARCHETYPE_SFW_Space_Pilot; LIGHTING_SFW_Screen_Glow.,OUTFIT
OUTFIT_SFW_Oversized_Hoodie,"(oversized hoodie:1.2), large hoodie, cozy hoodie, sleeves too long, hoodie dress length, comfortable casual, soft fabric hoodie","formal, armor, fantasy, tight",Cozy oversized hoodie. Combos: MOOD_SFW_Shy; ACTIVITY_SFW_Gaming; SEASON_SFW_Winter_Snow. Very approachable casual.,OUTFIT
OUTFIT_SFW_School_Uniform,"school uniform, sailor uniform, blazer uniform, pleated skirt, school bag, knee-high socks, student outfit","adult professional, armor, fantasy, nude",Japanese school uniform. Combos: SCENE_School_Classroom; MOOD_Shy; BODY_Petite_Small. Conflicts: OUTFIT_Evening_Dress.,OUTFIT
OUTFIT_SFW_Sportswear,"sportswear, (athletic wear:1.2), sports bra, yoga pants, leggings, running shoes, gym outfit, activewear","formal, armor, fantasy, skirt, dress",Athletic wear. Combos: BODY_Muscular_Fit; ACTIVITY_Stretching; SCENE_Gym. Conflicts: OUTFIT_Evening_Dress.,OUTFIT
OUTFIT_SFW_Streetwear,"streetwear, hoodie, baggy pants, sneakers, cap, oversized jacket, urban fashion, graphic tee, layered outfit","formal, armor, fantasy, dress",Urban street style. Combos: SCENE_City_Alley; LIGHTING_Neon_Purple_Pink; MOOD_Confident. Conflicts: OUTFIT_Evening_Dress.,OUTFIT
OUTFIT_SFW_Swimwear,"swimsuit, one-piece swimsuit, bikini, beach attire, sun hat, sunglasses, summer wear","armor, formal, winter clothes, heavy clothing",Beach/pool wear. Combos: SCENE_Beach; LIGHTING_Golden_Hour_Sunset; SEASON_Summer. Conflicts: OUTFIT_Winter_Coat.,OUTFIT
OUTFIT_SFW_Techwear,"(techwear:1.3), tactical jacket, straps and buckles, functional pockets, urban techwear, dark tech fashion, cargo","formal, fantasy, casual plain",Techwear tactical fashion. Combos: SCENE_SFW_Cyberpunk_City; LIGHTING_SFW_Neon_Purple_Pink; MOOD_SFW_Confident.,OUTFIT
OUTFIT_SFW_Traditional_Chinese,"(cheongsam:1.3), qipao, traditional chinese dress, silk qipao, mandarin collar, floral embroidery, form-fitting traditional dress, chinese clothing","western, casual, fantasy armor",Chinese cheongsam/qipao. Combos: ERA_SFW_Feudal_Japan (adapt); MOOD_SFW_Mysterious; LIGHTING_SFW_Candlelight. Conflicts: OUTFIT_SFW_Cyberpunk.,OUTFIT
OUTFIT_SFW_Traditional_Indian,"(sari:1.3), indian sari, silk sari, bindi, bangles, traditional indian clothing, embroidered sari, draped fabric, gold jewelry","western, casual, armor, modern",Indian sari. Combos: MOOD_SFW_Elegant; LIGHTING_SFW_Golden_Hour_Sunset; ACCESSORY_SFW_Jewelry_Elegant. Conflicts: OUTFIT_SFW_Sportswear.,OUTFIT
OUTFIT_SFW_Traditional_Japanese,"(kimono:1.3), obi belt, geta sandals, traditional japanese clothing, floral pattern, hakama optional, furisode","modern clothes, western, armor, casual",Traditional kimono/yukata. Combos: SCENE_Japanese_Night; SEASON_Spring_Cherry; LIGHTING_Soft_Warm. Conflicts: OUTFIT_Sportswear.,OUTFIT
OUTFIT_SFW_Traditional_Korean,"(hanbok:1.3), traditional korean dress, silk hanbok, jeogori jacket, chima skirt, traditional korean clothing, embroidered fabric, colorful hanbok","modern, western, fantasy armor, casual",Korean hanbok. Combos: SCENE_SFW_Japanese_Night (adapt for Korean setting); SEASON_SFW_Spring_Cherry; MOOD_SFW_Elegant. Conflicts: OUTFIT_SFW_Cyberpunk.,OUTFIT
OUTFIT_SFW_Winter_Coat,"(winter coat:1.2), warm coat, scarf, gloves, beanie hat, winter fashion, cozy outfit, fur trim, long coat","swimwear, summer clothes, bikini, bare arms",Winter cozy fashion. Combos: SEASON_Winter_Snow; MOOD_Shy; ACTIVITY_Reading. Conflicts: OUTFIT_Swimwear.,OUTFIT
PALETTE_SFW_Cold_Blue,"(cold blue palette:1.2), icy blue tones, cool colors dominant, steel blue, arctic palette, cold atmosphere","warm, golden, earthy",Cold blue dominant palette. Combos: SEASON_SFW_Winter_Snow; LIGHTING_SFW_Night_Moonlit; MOOD_SFW_Melancholic.,PALETTE
PALETTE_SFW_Duotone,"duotone color scheme, two-color palette, duotone print effect, high contrast two colors, (limited palette:1.2), graphic duotone","full color, multicolor, realistic",Two-color duotone effect. Combos: STYLE_SFW_Woodcut_Print; REGIONAL_SFW_French_Comic; any ARCHETYPE for graphic posters. Very striking.,PALETTE
PALETTE_SFW_High_Contrast,"(high contrast:1.2), strong contrast, deep blacks, bright highlights, dramatic tonal range","low contrast, flat, washed out",High contrast drama. Combos: LIGHTING_SFW_Dramatic_Shadow; STYLE_SFW_Dark_Gothic; MOOD_SFW_Fierce.,PALETTE
PALETTE_SFW_Infrared,"infrared photography style, false color infrared, glowing white foliage, magenta sky, surreal infrared color shift, infrared color palette","natural color, realistic tones",Infrared false color. Combos: SCENE_SFW_Forest_Outdoor; WEATHER_SFW_Windy; DYNAMICS_SFW_Wind_Hair_Clothes. Surreal nature shots.,PALETTE
PALETTE_SFW_Monochrome_Noir,"(monochrome:1.2), black and white, noir, desaturated, grayscale with single accent color","colorful, vibrant, saturated",B&W noir palette. Combos: STYLE_SFW_Dark_Gothic; LIGHTING_SFW_Dramatic_Shadow; MOOD_SFW_Mysterious.,PALETTE
PALETTE_SFW_Muted_Desaturated,"(desaturated:1.2), muted colors, low saturation, washed out, faded palette, subdued tones, earthy muted","vibrant, saturated, neon",Understated muted palette. Combos: MOOD_SFW_Melancholic; ERA_SFW_Post_Apocalyptic; STYLE_SFW_Sketch_Lineart.,PALETTE
PALETTE_SFW_Sepia,"sepia tone, sepia photograph, warm brown tones, old photograph color, antique sepia filter, aged photo palette, brown monochrome","vibrant, saturated, neon, cold",Sepia vintage tone. Combos: ERA_SFW_Victorian; STYLE_SFW_Charcoal_Sketch; VFX_SFW_Film_Grain; REGIONAL_SFW_Nordic_Folklore.,PALETTE
PALETTE_SFW_Teal_Orange,"teal and orange color grading, cinematic color grade, teal shadows orange highlights, Hollywood color grading, blockbuster color palette, film color grade","monochrome, pastel, flat",Hollywood teal-orange grade. Combos: STYLE_SFW_Action_Game_Art; SCENE_SFW_Cyberpunk_City; VFX_SFW_Film_Grain. Industry-standard cinematic look.,PALETTE
PALETTE_SFW_Vaporwave,"(vaporwave:1.3), pastel purple pink cyan, 80s neon palette, synthwave colors, retrowave aesthetic, neon gradient","natural colors, earthy, muted",Vaporwave/synthwave palette. Combos: SCENE_SFW_Cyberpunk_City; LIGHTING_SFW_Neon_Purple_Pink; STYLE_SFW_90s_Retro.,PALETTE
PALETTE_SFW_Warm_Earth,"(warm earthy tones:1.2), amber, sienna, terracotta, brown tones, warm palette, golden tones","cold, blue, neon, desaturated",Warm earthy palette. Combos: SCENE_SFW_Forest_Outdoor; SEASON_SFW_Autumn_Leaves; MOOD_SFW_Serene.,PALETTE
POSE_SFW_Arms_Crossed,"(arms crossed:1.2), crossed arms pose, defensive stance, arms folded, assertive arms crossed, closed body language","open arms, reaching out, relaxed",Arms crossed stance. Combos: MOOD_SFW_Confident; ARCHETYPE_SFW_Office_Lady; EXPRESSION_SFW_Smug. Strong character personality.,POSE
POSE_SFW_Head_Tilt,"(head tilted:1.2), head tilt, curious head tilt, quizzical tilt, tilted head look, slight head incline, head cocked sideways","straight head, rigid",Curious head tilt. Combos: ARCHETYPE_SFW_Catgirl; EXPRESSION_SFW_Surprised; MOOD_SFW_Playful. Adds personality to portrait.,POSE
POSE_SFW_Kneeling,"(kneeling:1.2), kneel pose, one knee down, both knees down, kneeling position, reverent kneel, warrior kneeling, bowing kneeling","standing, running, jumping",Kneeling pose. Combos: ARCHETYPE_SFW_Warrior; MOOD_SFW_Determined; SCENE_SFW_Fantasy_Ruins. Dramatic weight.,POSE
POSE_SFW_Leaning_Wall,"(leaning against wall:1.2), wall lean pose, casual wall lean, hip against wall, shoulder to wall, relaxed lean, slouching against wall","standing straight, rigid, dynamic battle",Wall lean pose. Combos: SCENE_SFW_Cyberpunk_City; OUTFIT_SFW_Streetwear; MOOD_SFW_Confident. Urban casual.,POSE
POSE_SFW_Looking_Back,"(looking back over shoulder:1.3), glancing back, over shoulder look, head turned back, backward glance, looking behind, coy backward glance","facing forward, frontal pose",Over-shoulder look. Combos: CAMERA_SFW_Over_Shoulder; OUTFIT styles; HAIR_SFW_Long_Flowing (hair sweeping). Very cinematic.,POSE
PROPS_SFW_Bicycle,"(bicycle:1.2), riding bicycle, bike, leaning on bicycle, city bike, basket bike, cycling, vintage bicycle","indoor, fantasy, armor",Bicycle prop. Combos: SCENE_SFW_Garden_Flower; SEASON_SFW_Spring_Cherry; OUTFIT_SFW_Casual. Lifestyle feel.,PROPS
PROPS_SFW_Flower_Bouquet,"(flower bouquet:1.3), holding bouquet, bunch of flowers, roses bouquet, wildflower bundle, wrapped flowers, bouquet in arms","weapon, tech, dark",Flower bouquet. Combos: ARCHETYPE_SFW_Princess; SEASON_SFW_Spring_Cherry; MOOD_SFW_Excited. Universal romantic prop.,PROPS
PROPS_SFW_Guitar,"(acoustic guitar:1.3), guitar in hands, playing guitar, strumming, guitar on back, electric guitar optional, musician prop, musical instrument","no instrument, sword, weapon",Guitar prop. Combos: ARCHETYPE_SFW_Rockstar; SCENE_SFW_Stage_Performance; MOOD_SFW_Playful. Distinct from small ACCESSORY.,PROPS
PROPS_SFW_Lantern,"(paper lantern:1.2), holding lantern, glowing lantern, Japanese paper lantern, candle lantern, warm lantern glow, lantern light","modern tech, cold, sterile",Lantern prop. Combos: SCENE_SFW_Japanese_Night; LIGHTING_SFW_Candlelight; ERA_SFW_Feudal_Japan.,PROPS
PROPS_SFW_Umbrella,"(umbrella:1.3), open umbrella, parasol, holding umbrella, rain umbrella, transparent umbrella, colorful umbrella, parasol tilted","no props, weapon, instrument",Umbrella prop. Combos: WEATHER_SFW_Heavy_Rain; SCENE_SFW_City_Street_Night; OUTFIT_SFW_Casual.,PROPS
RACE_SFW_Angel,"angel, white feathered wings, halo, divine light, angelic beauty, heavenly features, graceful wings","demon, dark, horns, tail",Angel race. Combos: LIGHTING_Volumetric_Rays; STYLE_Soft_Pastel; MOOD_Serene. Conflicts: RACE_Demon_Girl.,RACE
RACE_SFW_Dark_Elf_Female,"dark elf, drow, dark skin, (white hair:1.2), pointed ears, violet or red eyes, dark elven beauty","fair skin elf, human, round ears",Dark elf drow. Combos: OUTFIT_Gothic; LIGHTING_Dim_Dark; SCENE_Fantasy_Ruins.,RACE
RACE_SFW_Demon_Girl,"demon girl, small horns, demon tail, dark skin optional, otherworldly features, fang teeth, glowing eyes","angel, halo, pure",Demon girl. Combos: ARCHETYPE_Succubus; ARCHETYPE_Demon_Queen; MOOD_Mysterious.,RACE
RACE_SFW_Dragon_Girl,"dragon girl, dragon horns, dragon tail, dragon wings optional, dragon scales on skin, reptilian eyes, dragon features","no horns, no tail, plain human",Dragon girl. Combos: ACTIVITY_Fighting_Pose; MOOD_Fierce; SCENE_Fantasy_Ruins.,RACE
RACE_SFW_Elf_Female,"elf, pointy ears, fair skin, ethereal beauty, long pointed ears, elven features, graceful elf","round ears, human, orc, demon",Classic fantasy elf. Combos: ARCHETYPE_Elf_Ranger; OUTFIT_Fantasy_Armor; SCENE_Forest_Outdoor.,RACE
RACE_SFW_Fox_Spirit,"fox girl, kitsune, fox ears, multiple fox tails, japanese spirit, fox features, fluffy tails, ethereal fox spirit","no ears, no tail, western",Kitsune fox spirit. Combos: OUTFIT_Traditional_Japanese; SCENE_Japanese_Night; LIGHTING_Night_Moonlit.,RACE
RACE_SFW_Vampire,"vampire girl, fangs, pale skin, red eyes, vampire features, nocturnal beauty, gothic vampire","sunlit, cheerful, tanned",Vampire character. Combos: SCENE_Gothic_Castle; LIGHTING_Candlelight; STYLE_Dark_Gothic.,RACE
REGIONAL_SFW_Art_Deco,"(art deco:1.3), geometric elegance, gold accents, stepped forms, 1920s glamour, deco patterns, streamlined","organic, medieval, futuristic",Art Deco style. Combos: MOOD_SFW_Elegant; SCENE_SFW_Ballroom; ERA_SFW_Victorian.,REGIONAL
REGIONAL_SFW_Art_Nouveau,"(art nouveau:1.3), organic flowing lines, decorative borders, floral motifs, mucha style, ornamental composition","geometric, minimalist, angular",Art Nouveau aesthetic. Combos: MOOD_SFW_Elegant; OUTFIT_SFW_Evening_Dress; RACE_SFW_Elf_Female.,REGIONAL
REGIONAL_SFW_French_Comic,"bande dessinee style, franco-belgian comic, ligne claire, Tintin-inspired, clean ink lines, flat colors, european comic style, clear line art","manga, anime, painted, rough",Franco-Belgian comic (BD) style. Combos: COMPOSITION_SFW_Framing; STYLE_SFW_Concept_Art. Different from manga/american comics.,REGIONAL
REGIONAL_SFW_Indian_Miniature,"rajput miniature painting, mughal miniature style, indian manuscript painting, flat decorative style, vibrant indian miniature, intricate border decoration, court scene painting","western, modern, digital, 3d",Indian Mughal/Rajput miniature. Combos: OUTFIT_SFW_Traditional_Indian; PALETTE_SFW_Warm_Earth. Combos well with REGIONAL_SFW_Persian_Miniature for contrast.,REGIONAL
REGIONAL_SFW_Korean_Webtoon,"(korean webtoon style:1.2), manhwa art, clean modern line art, webtoon coloring, bright clean aesthetics","rough, painterly, western cartoon",Korean webtoon/manhwa style. Combos: MOOD_SFW_Playful; ARCHETYPE_SFW_Idol; OUTFIT_SFW_School_Uniform.,REGIONAL
REGIONAL_SFW_Nordic_Folklore,"nordic folklore art style, scandinavian illustration, folk art norway, viking age aesthetic, norse mythology art, rosemaling pattern, nordic nature illustration","modern, digital, anime",Nordic/Scandinavian folk art. Combos: ERA_SFW_Medieval_Fantasy; SCENE_SFW_Forest_Outdoor; SEASON_SFW_Winter_Snow.,REGIONAL
REGIONAL_SFW_Persian_Miniature,"persian miniature painting, illuminated manuscript style, intricate geometric border, flat perspective miniature, Persian court painting, detailed pattern, jewel-like colors","western, modern, digital, 3d",Persian miniature painting. Combos: OUTFIT_SFW_Traditional_Indian (adapt); MOOD_SFW_Elegant; PALETTE_SFW_Warm_Earth. Extremely distinctive.,REGIONAL
REGIONAL_SFW_Ukiyo_E,"(ukiyo-e style:1.3), japanese woodblock print, flat color areas, bold outlines, traditional japanese art, edo period art","3d, realistic, western",Japanese woodblock print style. Combos: SCENE_SFW_Japanese_Night; OUTFIT_SFW_Traditional_Japanese; RACE_SFW_Fox_Spirit.,REGIONAL
SCENE_SFW_Art_Studio,"art studio, painter's studio, easels, canvas, paint tubes, art supplies, wooden floor studio, artist workspace, creative studio, paint-stained walls","office, outdoor, dungeon",Artist studio. Combos: ACTIVITY_SFW_Painting; ARCHETYPE_SFW_Alchemist; LIGHTING_SFW_Soft_Warm (north light).,SCENE
SCENE_SFW_Bakery,"cozy bakery, bread shelves, pastry display, warm bakery interior, wooden counters, baked goods, flour dusted surfaces, morning bakery, oven glow","outdoor, dungeon, office, fantasy",Cozy bakery. Combos: ARCHETYPE_SFW_Maid; ACTIVITY_SFW_Cooking; LIGHTING_SFW_Soft_Warm; SEASON_SFW_Winter_Snow.,SCENE
SCENE_SFW_Ballroom,"grand ballroom, chandeliers, marble floor, elegant decor, gold trim, formal setting, dance floor, tall windows","outdoor, dungeon, cafe",Elegant ballroom. Combos: OUTFIT_Evening_Dress; MOOD_Elegant; ACTIVITY_Dancing.,SCENE
SCENE_SFW_Beach,"beach, ocean, sandy shore, waves, blue sky, palm trees, sunny day, sea breeze","indoor, dungeon, winter",Tropical beach. Combos: OUTFIT_Swimwear; SEASON_Summer; LIGHTING_Golden_Hour_Sunset.,SCENE
SCENE_SFW_Bedroom,"bedroom, bed, pillows, soft lighting, cozy room, window with curtains, nightstand","outdoor, dungeon, office",Cozy bedroom. Combos: ACTIVITY_Reading; ACTIVITY_Gaming; MOOD_Serene. Universal.,SCENE
SCENE_SFW_Cafe,"cafe interior, coffee shop, wooden tables, warm lighting, coffee cups, window seat, cozy atmosphere","outdoor battle, dungeon, office",Cozy cafe. Combos: ACTIVITY_Reading; OUTFIT_Casual; SEASON_Autumn_Leaves. Conflicts: SCENE_Dungeon.,SCENE
SCENE_SFW_City_Street_Night,"city street at night, urban night scene, streetlights, wet pavement reflections, night city street, neon signs, downtown night, urban nightlife","indoor, fantasy, nature",Night city street. Combos: WEATHER_SFW_Gentle_Rain; OUTFIT_SFW_Streetwear; LIGHTING_SFW_Neon_Purple_Pink.,SCENE
SCENE_SFW_Cyberpunk_City,"cyberpunk city, neon lights, rainy streets, towering skyscrapers, holographic ads, futuristic urban, neon reflections","fantasy, nature, traditional",Cyberpunk setting. Combos: OUTFIT_Cyberpunk; LIGHTING_Neon_Purple_Pink; STYLE_Action_Game_Art.,SCENE
SCENE_SFW_Fantasy_Ruins,"ancient ruins, crumbling stone, overgrown vines, broken columns, ethereal mist, forgotten temple, mystical atmosphere","modern, cafe, office",Fantasy ruins. Combos: ARCHETYPE_Warrior; ARCHETYPE_Succubus; LIGHTING_Volumetric_Rays.,SCENE
SCENE_SFW_Forest_Outdoor,"enchanted forest, tall trees, dappled light, mossy ground, nature, woodland path, soft sunlight through leaves","indoor, urban, futuristic",Fantasy forest. Combos: ARCHETYPE_Elf_Ranger; ARCHETYPE_Witch; LIGHTING_Golden_Hour_Sunset.,SCENE
SCENE_SFW_Garden_Flower,"flower garden, blooming garden, flower beds, garden path, rose garden, colorful flowers, botanical garden, outdoor flower setting, garden bench","indoor, dungeon, urban",Flower garden. Combos: SEASON_SFW_Spring_Cherry; OUTFIT_SFW_Boho; COMPANION_SFW_Butterfly (via ATMOSPHERE).,SCENE
SCENE_SFW_Gothic_Castle,"gothic castle, stone walls, stained glass, torchlight, grand hall, stone pillars, dark atmosphere, medieval interior","modern, cafe, beach, office",Gothic castle interior. Combos: ARCHETYPE_Demon_Queen; STYLE_Dark_Gothic; LIGHTING_Dramatic_Shadow.,SCENE
SCENE_SFW_Greenhouse,"glass greenhouse, botanical garden, plants everywhere, glass ceiling, tropical plants, garden conservatory, lush interior","urban, dark, outdoor bare",Glass greenhouse. Combos: OUTFIT_SFW_Cottagecore; SEASON_SFW_Spring_Cherry; LIGHTING_SFW_Soft_Warm.,SCENE
SCENE_SFW_Hot_Spring,"outdoor hot spring, onsen, steam rising, rocks, bamboo, natural pool, peaceful nature, mountain backdrop","indoor, urban, battle",Peaceful onsen. Combos: OUTFIT_Traditional_Japanese; MOOD_Serene; SEASON_Winter_Snow.,SCENE
SCENE_SFW_Japanese_Night,"feudal japan, japanese architecture, torii gate, paper lanterns, wooden bridge, night atmosphere, traditional setting","modern, western, futuristic",Japanese night scene. Combos: ARCHETYPE_Kunoichi; ARCHETYPE_Shrine_Maiden; LIGHTING_Night_Moonlit; OUTFIT_Traditional_Japanese.,SCENE
SCENE_SFW_Library,"grand library, bookshelves to ceiling, reading tables, warm lamp light, ancient books, wooden ladders, quiet atmosphere","outdoor, battle, beach",Library setting. Combos: ACTIVITY_Reading; ARCHETYPE_Witch; MOOD_Mysterious.,SCENE
SCENE_SFW_Liminal_Space,"(liminal space:1.3), empty corridor, abandoned pool, empty hallway, eerie empty space, backrooms aesthetic, transitional space","crowded, busy, populated",Unsettling liminal atmosphere. Combos: LIGHTING_SFW_Bright_Clinical; MOOD_SFW_Mysterious; PALETTE_SFW_Muted_Desaturated.,SCENE
SCENE_SFW_Mountain_Top,"mountain peak, panoramic view, clouds below, dramatic sky, rocky summit, wind, vast horizon","indoor, dungeon, cafe",Cinematic mountain vista. Combos: ACTIVITY_Gazing_Horizon; LIGHTING_Golden_Hour_Sunset; MOOD_Melancholic.,SCENE
SCENE_SFW_Observatory,"observatory, telescope, domed ceiling, star charts, astronomy equipment, space observation room, glass dome ceiling, night sky visible, planetarium","outdoor, dungeon, cafe",Observatory/planetarium. Combos: TIME_SFW_Midnight; ARCHETYPE_SFW_Scientist; MOOD_SFW_Dreamy.,SCENE
SCENE_SFW_Office,"modern office, desk, computer, city view through window, professional environment, clean corporate space","fantasy, dungeon, beach, outdoor",Office setting. Combos: ARCHETYPE_Office_Lady; OUTFIT_Business_Suit; MOOD_Confident.,SCENE
